Pearson_cor	s17	s16	s20	s23	s18	s26	s19	s27	s21	s22	s24	s11	s2	s25	s3	s4	s5	s13	s7	s6	s8	s10	s14	s9	s12	s1	s15
s2	0.671397080040738	0.731789508411483	0.651807569939524	0.664527924578829	0.720705636669604	0.714191915085513	0.723007850422045	0.822448308358562	0.695118329991374	0.682388168254833	0.841819340694736	0.871752342114342	1	0.840860471143116	0.760991938571134	0.840276349230343	0.913235494226297	0.846435285786295	0.457105198412365	0.729506201418376	0.735046181598097	0.713095318915953	0.737044748073699	0.716849670342351	0.882481685627697	0.94648958573872	0.847650582069448
s25	0.710319156300986	0.803460844629838	0.790332993642255	0.799376742722107	0.805457510420125	0.891905714619582	0.791020259696659	0.967967461228077	0.811060488119437	0.836124164611947	0.974581662914109	0.923777441989715	0.840860471143116	1	0.89207376187586	0.885395008915481	0.882181006541819	0.881898299346355	0.455736505381744	0.803110774078193	0.863321649218499	0.753345155109948	0.826256868979802	0.84966856337105	0.893078386807954	0.890990425273975	0.912999406595361
s3	0.621384949250171	0.721773728713071	0.767122114701278	0.788890460623308	0.796558732537577	0.933694164605445	0.712630544472156	0.878593783246512	0.7741647054652	0.823451011434316	0.89864582775692	0.90949626343625	0.760991938571134	0.89207376187586	1	0.885330032610573	0.832853823340992	0.920545570329982	0.461510915662455	0.803908373994116	0.961917649468108	0.745952923063204	0.802528181273048	0.846647945028181	0.854140782004361	0.839952414860704	0.895831017808327
s4	0.652521267759117	0.728092647678425	0.741058840886637	0.755225982749544	0.768742334251192	0.867356533789786	0.721148859963745	0.861348057750432	0.766795263924332	0.775244265007581	0.887393523977585	0.943244839973508	0.840276349230343	0.885395008915481	0.885330032610573	1	0.926232154480029	0.934070751276242	0.497362762738107	0.809941019001337	0.859975923379525	0.786147065211742	0.806852825132934	0.84531325711487	0.924480515545337	0.906054272835475	0.922116118563145
s5	0.630997920599867	0.698115216402543	0.681691166787348	0.695641414504884	0.724658587261346	0.789914431231076	0.694616657022425	0.859339919407296	0.721648802804959	0.718267938376524	0.880069467573451	0.911786975240953	0.913235494226297	0.882181006541819	0.832853823340992	0.926232154480029	1	0.910079441584028	0.438295261681627	0.75200648153172	0.819146758105058	0.721698927821568	0.741333243123059	0.756593122266206	0.91036563716454	0.961835041284461	0.899318356667401
s13	0.605207986032175	0.688784369994281	0.70633035899835	0.722007857068078	0.764209259417293	0.903111335337659	0.678105719108642	0.8418519802324	0.728566912779383	0.756283343756207	0.882438581074926	0.952737377110044	0.846435285786295	0.881898299346355	0.920545570329982	0.934070751276242	0.910079441584028	1	0.48907869499195	0.783111489840222	0.878348614999113	0.756475754690761	0.80402327363908	0.800970370737696	0.931167471920961	0.917259768193891	0.916844593172381
s7	0.632511897751451	0.512314449649618	0.433674983718137	0.48888154498509	0.562010023644629	0.461626740580738	0.495133065098897	0.426044054966626	0.500166035302803	0.462206565904141	0.474006029668846	0.549873454028939	0.457105198412365	0.455736505381744	0.461510915662455	0.497362762738107	0.438295261681627	0.48907869499195	1	0.688275742952732	0.443999121264225	0.851627845862184	0.553275678290076	0.567729636309774	0.616581490749791	0.454845506831828	0.559685876774948
s6	0.735618029997306	0.790035894440909	0.742096236192627	0.769282489837566	0.839584923777352	0.749879364504331	0.770700517096407	0.788961710178415	0.775153957345654	0.797354182804798	0.829328467663659	0.864247442550648	0.729506201418376	0.803110774078193	0.803908373994116	0.809941019001337	0.75200648153172	0.783111489840222	0.688275742952732	1	0.798383648724648	0.918488724139374	0.819699651665164	0.90570166993138	0.825908930994462	0.76140284498632	0.878915673625596
s8	0.615472005105659	0.714835920523389	0.770338443121835	0.792577612508414	0.796929675678131	0.911283158807836	0.706801380591413	0.862694329611131	0.77902379015777	0.826031177151194	0.875940561067364	0.872270130082314	0.735046181598097	0.863321649218499	0.961917649468108	0.859975923379525	0.819146758105058	0.878348614999113	0.443999121264225	0.798383648724648	1	0.739051246966916	0.783030912826218	0.837575863766523	0.824551804348754	0.82428248805318	0.880611076605781
s10	0.785653807774241	0.768872109969254	0.708514951327214	0.750855581137191	0.81380414304511	0.720563051817672	0.751490711518578	0.734348083802226	0.764430564520507	0.751815371200525	0.783377532085555	0.830242055994965	0.713095318915953	0.753345155109948	0.745952923063204	0.786147065211742	0.721698927821568	0.756475754690761	0.851627845862184	0.918488724139374	0.739051246966916	1	0.825324657066644	0.873965255699824	0.846033745474059	0.735071967336133	0.845061018003672
s14	0.774975153443388	0.841284051851033	0.784664073283659	0.798391279206339	0.859807775422513	0.811903526371633	0.821590927931729	0.801726965735826	0.797140844481196	0.821079898194116	0.847441417535715	0.900437231454885	0.737044748073699	0.826256868979802	0.802528181273048	0.806852825132934	0.741333243123059	0.80402327363908	0.553275678290076	0.819699651665164	0.783030912826218	0.825324657066644	1	0.882650742798867	0.895788734500023	0.771484288021848	0.927550761921517
s9	0.734613471270493	0.8024763569393	0.798051016921255	0.816082327311737	0.859932886766843	0.817760487316284	0.785650051481689	0.836662798821593	0.812872900920398	0.847113882584645	0.877461258850252	0.877607115865778	0.716849670342351	0.84966856337105	0.846647945028181	0.84531325711487	0.756593122266206	0.800970370737696	0.567729636309774	0.90570166993138	0.837575863766523	0.873965255699824	0.882650742798867	1	0.839706719735696	0.766512417533079	0.890834816648793
s12	0.757641865522062	0.792939052361032	0.748976244348418	0.766977383372334	0.810386643599107	0.860853801626536	0.782250872728384	0.852330995085665	0.786982998578708	0.783700950003765	0.898248574610598	0.969232244740272	0.882481685627697	0.893078386807954	0.854140782004361	0.924480515545337	0.91036563716454	0.931167471920961	0.616581490749791	0.825908930994462	0.824551804348754	0.846033745474059	0.895788734500023	0.839706719735696	1	0.918840041270284	0.958338195522136
s1	0.665975988122197	0.73313001905665	0.694346896395519	0.703636101933511	0.749098090723054	0.792543949191025	0.724613777793839	0.870979686539316	0.727943099852878	0.728151823189122	0.896503889389943	0.92300295965713	0.94648958573872	0.890990425273975	0.839952414860704	0.906054272835475	0.961835041284461	0.917259768193891	0.454845506831828	0.76140284498632	0.82428248805318	0.735071967336133	0.771484288021848	0.766512417533079	0.918840041270284	1	0.896928412671987
s15	0.757245145412018	0.841747093745837	0.80387130185191	0.825211639178281	0.867437820426381	0.879189200994571	0.826868007216613	0.886648450000358	0.826267579583545	0.8518408194427	0.925011774515097	0.98117220014049	0.847650582069448	0.912999406595361	0.895831017808327	0.922116118563145	0.899318356667401	0.916844593172381	0.559685876774948	0.878915673625596	0.880611076605781	0.845061018003672	0.927550761921517	0.890834816648793	0.958338195522136	0.896928412671987	1
